DEBUG 2025-12-26 17:45:36,807 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:45:36,810 ua_client Request to close socket received
WARNING 2025-12-26 17:45:36,812 opcua_client ⚠️ mityana bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:45:36,815 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:45:36,818 opcua_client [36m🔐 Using Anonymous Authentication for mityana bh1[0m
INFO 2025-12-26 17:45:36,820 ua_client opening connection
INFO 2025-12-26 17:45:36,903 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:45:36,905 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:45:36,908 opcua_client [36m🔄 mityana bh1 status updated to faulty[0m
ERROR 2025-12-26 17:45:36,917 opcua_client [31m Connection failed: [Errno -5] No address associated with hostname[0m
WARNING 2025-12-26 17:45:36,922 opcua_client [33m🔄 Retrying connection to mityana bh1...[0m
INFO 2025-12-26 17:45:37,851 ua_client close_session
INFO 2025-12-26 17:45:37,853 ua_client close_secure_channel
DEBUG 2025-12-26 17:45:37,855 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:45:37,857 ua_client Request to close socket received
WARNING 2025-12-26 17:45:37,860 opcua_client ⚠️ Lutete Bore hole: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:45:37,863 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:45:37,864 opcua_client [36m🔐 Using Anonymous Authentication for Lutete Bore hole[0m
INFO 2025-12-26 17:45:37,867 ua_client opening connection
INFO 2025-12-26 17:45:41,912 opcua_client 🔎 Total server configs found: 4
INFO 2025-12-26 17:45:41,917 opcua_client 🟢 Found 4 active servers:
INFO 2025-12-26 17:45:41,920 opcua_client 🔄 Next server status check in 30 seconds...
INFO 2025-12-26 17:45:41,922 read_data 🚀 Node reading thread started.
INFO 2025-12-26 17:45:43,466 ua_client close_session
INFO 2025-12-26 17:45:43,468 ua_client close_secure_channel
DEBUG 2025-12-26 17:45:43,470 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:45:43,473 ua_client Request to close socket received
WARNING 2025-12-26 17:45:43,475 opcua_client ⚠️ Bombo bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:45:43,476 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:45:43,478 opcua_client [36m🔐 Using Anonymous Authentication for Bombo bh1[0m
INFO 2025-12-26 17:45:43,479 ua_client opening connection
INFO 2025-12-26 17:45:44,881 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:45:44,882 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:45:44,884 opcua_client [36m🔄 Lutete Bore hole status updated to faulty[0m
ERROR 2025-12-26 17:45:44,894 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:45:44,899 opcua_client [33m🔄 Retrying connection to Lutete Bore hole...[0m
INFO 2025-12-26 17:45:45,943 ua_client close_session
INFO 2025-12-26 17:45:45,945 ua_client close_secure_channel
DEBUG 2025-12-26 17:45:45,947 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:45:45,949 ua_client Request to close socket received
WARNING 2025-12-26 17:45:45,951 opcua_client ⚠️ testing: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:45:45,953 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:45:45,955 opcua_client [36m🔐 Using Anonymous Authentication for testing[0m
INFO 2025-12-26 17:45:45,957 ua_client opening connection
INFO 2025-12-26 17:45:50,496 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:45:50,499 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:45:50,502 opcua_client [36m🔄 Bombo bh1 status updated to faulty[0m
ERROR 2025-12-26 17:45:50,508 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:45:50,514 opcua_client [33m🔄 Retrying connection to Bombo bh1...[0m
INFO 2025-12-26 17:45:53,477 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:45:53,483 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:45:53,490 opcua_client [36m🔄 testing status updated to faulty[0m
ERROR 2025-12-26 17:45:53,505 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:45:53,516 opcua_client [33m🔄 Retrying connection to testing...[0m
INFO 2025-12-26 17:46:04,419 ua_client close_session
INFO 2025-12-26 17:46:04,422 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:04,426 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:46:04,430 ua_client Request to close socket received
WARNING 2025-12-26 17:46:04,433 opcua_client ⚠️ mityana bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:04,438 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:04,442 opcua_client [36m🔐 Using Anonymous Authentication for mityana bh1[0m
INFO 2025-12-26 17:46:04,446 ua_client opening connection
INFO 2025-12-26 17:46:04,509 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:46:04,515 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:46:04,519 opcua_client [36m🔄 mityana bh1 status updated to faulty[0m
ERROR 2025-12-26 17:46:04,524 opcua_client [31m Connection failed: [Errno -5] No address associated with hostname[0m
WARNING 2025-12-26 17:46:04,532 opcua_client [33m🔄 Retrying connection to mityana bh1...[0m
INFO 2025-12-26 17:46:12,398 ua_client close_session
INFO 2025-12-26 17:46:12,400 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:12,403 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:46:12,405 ua_client Request to close socket received
WARNING 2025-12-26 17:46:12,408 opcua_client ⚠️ Lutete Bore hole: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:12,410 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:12,413 opcua_client [36m🔐 Using Anonymous Authentication for Lutete Bore hole[0m
INFO 2025-12-26 17:46:12,415 ua_client opening connection
INFO 2025-12-26 17:46:18,315 ua_client close_session
INFO 2025-12-26 17:46:18,317 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:18,318 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:46:18,320 ua_client Request to close socket received
WARNING 2025-12-26 17:46:18,322 opcua_client ⚠️ Bombo bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:18,324 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:18,325 opcua_client [36m🔐 Using Anonymous Authentication for Bombo bh1[0m
INFO 2025-12-26 17:46:18,327 ua_client opening connection
INFO 2025-12-26 17:46:19,428 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:46:19,430 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:46:19,431 opcua_client [36m🔄 Lutete Bore hole status updated to faulty[0m
ERROR 2025-12-26 17:46:19,434 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:46:19,437 opcua_client [33m🔄 Retrying connection to Lutete Bore hole...[0m
INFO 2025-12-26 17:46:20,515 ua_client close_session
INFO 2025-12-26 17:46:20,517 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:20,519 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:46:20,521 ua_client Request to close socket received
WARNING 2025-12-26 17:46:20,523 opcua_client ⚠️ testing: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:20,525 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:20,527 opcua_client [36m🔐 Using Anonymous Authentication for testing[0m
INFO 2025-12-26 17:46:20,529 ua_client opening connection
INFO 2025-12-26 17:46:25,366 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:46:25,368 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:46:25,371 opcua_client [36m🔄 Bombo bh1 status updated to faulty[0m
ERROR 2025-12-26 17:46:25,379 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:46:25,384 opcua_client [33m🔄 Retrying connection to Bombo bh1...[0m
INFO 2025-12-26 17:46:28,081 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:46:28,083 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:46:28,086 opcua_client [36m🔄 testing status updated to faulty[0m
ERROR 2025-12-26 17:46:28,096 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:46:28,101 opcua_client [33m🔄 Retrying connection to testing...[0m
INFO 2025-12-26 17:46:31,575 ua_client close_session
INFO 2025-12-26 17:46:31,577 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:31,579 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:46:31,581 ua_client Request to close socket received
WARNING 2025-12-26 17:46:31,583 opcua_client ⚠️ mityana bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:31,585 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:31,587 opcua_client [36m🔐 Using Anonymous Authentication for mityana bh1[0m
INFO 2025-12-26 17:46:31,590 ua_client opening connection
INFO 2025-12-26 17:46:31,646 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:46:31,648 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:46:31,650 opcua_client [36m🔄 mityana bh1 status updated to faulty[0m
ERROR 2025-12-26 17:46:31,659 opcua_client [31m Connection failed: [Errno -5] No address associated with hostname[0m
WARNING 2025-12-26 17:46:31,665 opcua_client [33m🔄 Retrying connection to mityana bh1...[0m
INFO 2025-12-26 17:46:36,414 opcua_client 🔎 Total server configs found: 4
INFO 2025-12-26 17:46:36,419 opcua_client 🟢 Found 4 active servers:
INFO 2025-12-26 17:46:36,421 opcua_client 🔄 Next server status check in 30 seconds...
INFO 2025-12-26 17:46:36,424 read_data 🚀 Node reading thread started.
INFO 2025-12-26 17:46:46,936 ua_client close_session
INFO 2025-12-26 17:46:46,938 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:46,940 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:46:46,943 ua_client Request to close socket received
WARNING 2025-12-26 17:46:46,945 opcua_client ⚠️ Lutete Bore hole: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:46,948 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:46,950 opcua_client [36m🔐 Using Anonymous Authentication for Lutete Bore hole[0m
INFO 2025-12-26 17:46:46,952 ua_client opening connection
INFO 2025-12-26 17:46:52,917 ua_client close_session
INFO 2025-12-26 17:46:52,919 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:52,920 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
